t, v
-0.006882, 1.465234
-0.006891, 1.419043
-0.006901, 1.395947
-0.006911, 1.303564
-0.006921, 1.280469
-0.006931, 1.211182
-0.006940, 1.164990
-0.006950, 1.118799
-0.006960, 1.072607
-0.006970, 1.026416
-0.006979, 0.957129
-0.006989, 0.910937
-0.006999, 0.864746
-0.007009, 0.818555
-0.007019, 0.795459
-0.007028, 0.749268
-0.007038, 0.679980
-0.007048, 0.656885
-0.007058, 0.564502
-0.007067, 0.518311
-0.007077, 0.472119
-0.007087, 0.425928
-0.007097, 0.402832
-0.007107, 0.356641
-0.007116, 0.310449
-0.007126, 0.264258
-0.007136, 0.241162
-0.007146, 0.194971
-0.007155, 0.194971
-0.007165, 0.171875
-0.007175, 0.148779
-0.007185, 0.125684
-0.007195, 0.079492
-0.007204, 0.079492
-0.007214, 0.079492
-0.007224, 0.056396
-0.007234, 0.079492
-0.007243, 0.079492
-0.007253, 0.056396
-0.007263, 0.079492
-0.007273, 0.079492
-0.007283, 0.079492
-0.007292, 0.102588
-0.007302, 0.102588
-0.007312, 0.125684
-0.007322, 0.125684
-0.007331, 0.194971
-0.007341, 0.194971
-0.007351, 0.218066
-0.007361, 0.241162
-0.007370, 0.287354
-0.007380, 0.333545
-0.007390, 0.379736
-0.007400, 0.402832
-0.007410, 0.472119
-0.007419, 0.495215
-0.007429, 0.518311
-0.007439, 0.564502
-0.007449, 0.633789
-0.007458, 0.679980
-0.007468, 0.749268
-0.007478, 0.795459
-0.007488, 0.864746
-0.007498, 0.910937
-0.007507, 0.957129
-0.007517, 1.003320
-0.007527, 1.026416
-0.007537, 1.072607
-0.007546, 1.164990
-0.007556, 1.234277
-0.007566, 1.303564
-0.007576, 1.326660
-0.007586, 1.372852
-0.007595, 1.395947
-0.007605, 1.419043
-0.007615, 1.534521
-0.007625, 1.557617
-0.007634, 1.603809
-0.007644, 1.650000
-0.007654, 1.696191
-0.007664, 1.719287
-0.007674, 1.765479
-0.007683, 1.788574
-0.007693, 1.834766
-0.007703, 1.857861
-0.007713, 1.904053
-0.007722, 1.904053
-0.007732, 1.904053
-0.007742, 1.927148
-0.007752, 1.950244
-0.007761, 1.973340
-0.007771, 1.973340
-0.007781, 1.973340
-0.007791, 1.973340
-0.007801, 1.973340
-0.007810, 1.973340
-0.007820, 1.973340
-0.007830, 1.973340
-0.007840, 1.927148
-0.007849, 1.927148
-0.007859, 1.904053
-0.007869, 1.904053
-0.007879, 1.880957
-0.007889, 1.857861
-0.007898, 1.788574
-0.007908, 1.765479
-0.007918, 1.742383
-0.007928, 1.696191
-0.007937, 1.673096
-0.007947, 1.626904
-0.007957, 1.580713
-0.007967, 1.534521
-0.007977, 1.465234
-0.007986, 1.442139
-0.007996, 1.395947
-0.008006, 1.326660
-0.008016, 1.303564
-0.008025, 1.257373
-0.008035, 1.211182
-0.008045, 1.118799
-0.008055, 1.072607
-0.008065, 1.026416
-0.008074, 1.026416
-0.008084, 0.980225
-0.008094, 0.910937
-0.008104, 0.887842
-0.008113, 0.772363
-0.008123, 0.749268
-0.008133, 0.703076
-0.008143, 0.656885
-0.008152, 0.610693
-0.008162, 0.564502
-0.008172, 0.472119
-0.008182, 0.472119
-0.008192, 0.402832
-0.008201, 0.356641
-0.008211, 0.333545
-0.008221, 0.287354
-0.008231, 0.264258
-0.008240, 0.241162
-0.008250, 0.194971
-0.008260, 0.194971
-0.008270, 0.171875
-0.008280, 0.125684
-0.008289, 0.125684
-0.008299, 0.125684
-0.008309, 0.102588
-0.008319, 0.056396
-0.008328, 0.056396
-0.008338, 0.079492
-0.008348, 0.056396
